Year,Pk,Tm,Player,College,Yrs,G,MP...8,PTS...9,TRB...10,AST...11,FG%,3P%,FT%,MP...15,PTS...16,TRB...17,AST...18,WS,WS/48,BPM,VORP,Seasons,VPS,mean_vps,median_vps,repl325_vps,VOADP_mean,VOADP_med,VOADP_repl,exp_vps_pick,VODP,exp_vps_pick_med,VODP_med
2023,24,DAL,Olivier-Maxence Prosper,Marquette,2,92,920,322,205,62,0.396,0.26,0.658,10,3.5,2.2,0.7,1.4,0.074,-2.4,-0.1,2,-0.05,0.027272727272727264,-0.05,-0.17249999999999996,-0.07727272727272727,0,0.12249999999999996,0.2135390446827121,-0.2635390446827121,0.029372300379506795,-0.0793723003795068
2023,25,DET,Marcus Sasser,Houston,2,128,2162,961,194,369,0.441,0.378,0.863,16.9,7.5,1.5,2.9,2.8,0.062,-1.9,0.1,2,0.05,0.027272727272727264,-0.05,-0.17249999999999996,0.02272727272727274,0.1,0.22249999999999998,0.20625347622723092,-0.1562534762272309,0.028105556686619317,0.021894443313380686
2023,26,IND,Ben Sheppard,Belmont,2,120,2042,584,266,138,0.407,0.33,0.887,17,4.9,2.2,1.2,2.9,0.067,-2.6,-0.3,2,-0.15,0.027272727272727264,-0.05,-0.17249999999999996,-0.17727272727272725,-0.09999999999999999,0.022499999999999964,0.1995433731342215,-0.34954337313422146,0.02637818330380722,-0.17637818330380722
2023,27,CHO,Nick Smith Jr.,Arkansas,2,111,2098,893,200,204,0.391,0.369,0.918,18.9,8,1.8,1.8,-1.1,-0.025,-5.8,-2,2,-1,0.027272727272727264,-0.05,-0.17249999999999996,-1.0272727272727273,-0.95,-0.8275,0.19318245727493485,-1.1931824572749348,0.023959206245877565,-1.0239592062458776
2023,28,UTA,Brice Sensabaugh,Ohio State,2,103,2016,1013,312,165,0.441,0.392,0.895,19.6,9.8,3,1.6,0.9,0.023,-2.4,-0.2,2,-0.1,0.027272727272727264,-0.05,-0.17249999999999996,-0.12727272727272726,-0.05,0.07249999999999995,0.187063962727798,-0.287063962727798,0.020885607877851622,-0.12088560787785163
2023,29,DEN,Julian Strawther,Gonzaga,2,115,1929,815,203,130,0.412,0.332,0.793,16.8,7.1,1.8,1.1,1.4,0.035,-5,-1.4,2,-0.7,0.027272727272727264,-0.05,-0.17249999999999996,-0.7272727272727272,-0.6499999999999999,-0.5275,0.1811474229056856,-0.8811474229056856,0.017343019209943075,-0.717343019209943
2023,30,LAC,Kobe Brown,Missouri,2,84,666,166,127,49,0.432,0.27,0.667,7.9,2,1.5,0.6,0.9,0.067,-3.1,-0.2,2,-0.1,0.027272727272727264,-0.05,-0.17249999999999996,-0.12727272727272726,-0.05,0.07249999999999995,0.1753930784739498,-0.2753930784739498,0.013518656971489046,-0.11351865697148905
2023,31,DET,James Nnaji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0.027272727272727264,-0.05,-0.17249999999999996,NA,NA,NA,0.1697611700979431,NA,0.009599737891827045,NA
2023,32,DEN,Jalen Pickett,Penn State,2,76,788,242,85,128,0.428,0.389,0.75,10.4,3.2,1.1,1.7,1.2,0.076,-1.8,0,2,0,0.027272727272727264,-0.05,-0.17249999999999996,-0.027272727272727264,0.05,0.17249999999999996,0.16421193844301726,-0.16421193844301726,0.005773478700293968,-0.005773478700293968
2023,33,MIN,Leonard Miller,NA,2,30,84,49,31,8,0.543,0.2,0.9,2.8,1.6,1,0.3,0.4,0.255,4.5,0.1,2,0.05,0.027272727272727264,-0.05,-0.17249999999999996,0.02272727272727274,0.1,0.22249999999999998,0.15870562417452455,-0.10870562417452455,0.0022270961262271104,0.04777290387377289
