Year,Pk,Tm,Player,College,Yrs,G,MP...8,PTS...9,TRB...10,AST...11,FG%,3P%,FT%,MP...15,PTS...16,TRB...17,AST...18,WS,WS/48,BPM,VORP,Seasons,VPS,class_mean_vps,VOADP,EPV,dEPV,Decade,EVP_decade,dEPV_decade,WdEPV,PickTier,z_dEPV,z_dEPV_decade
2024,1,ATL,Zaccharie Risacher,NA,1,75,1843,942,268,92,0.458,0.355,0.711,24.6,12.6,3.6,1.2,1.8,0.046,-3.5,-0.7,1,-0.7,-0.23018867924528302,-0.46981132075471693,1.1820582298282691,-1.882058229828269,2020s,0.6884106481490666,-1.3884106481490666,-1.882058229828269,Lottery,-1.7047910678646938,-1.2716679948648166
2024,2,WAS,Alex Sarr,NA,1,67,1814,869,435,161,0.394,0.308,0.679,27.1,13,6.5,2.4,-0.3,-0.007,-3.3,-0.6,1,-0.6,-0.23018867924528302,-0.36981132075471695,1.0876255959569865,-1.6876255959569866,2020s,0.6418667726627373,-1.2418667726627373,-1.6876255959569866,Lottery,-1.527449187490557,-1.1365942126587427
2024,3,HOU,Reed Sheppard,Kentucky,1,52,654,229,78,75,0.351,0.338,0.813,12.6,4.4,1.5,1.4,0.8,0.055,-1.7,0.1,1,0.1,-0.23018867924528302,0.33018867924528306,0.9967840507411952,-0.8967840507411953,2020s,0.5956346672532897,-0.49563466725328975,-0.8967840507411953,Lottery,-0.8061231224463334,-0.44877022447263343
2024,4,SAS,Stephon Castle,UConn,1,81,2162,1190,297,332,0.428,0.285,0.724,26.7,14.7,3.7,4.1,1.1,0.025,-3.2,-0.6,1,-0.6,-0.23018867924528302,-0.36981132075471695,0.910042806479001,-1.510042806479001,2020s,0.5501531422203075,-1.1501531422203075,-1.510042806479001,Lottery,-1.3654760393565908,-1.0520590732501718
2024,5,DET,Ron Holland,NA,1,81,1266,522,218,82,0.474,0.238,0.754,15.6,6.4,2.7,1,1.8,0.067,-3,-0.3,1,-0.3,-0.23018867924528302,-0.06981132075471697,0.8279110754685103,-1.1279110754685102,2020s,0.5059356568366891,-0.8059356568366891,-1.1279110754685102,Lottery,-1.0169339331333742,-0.7347837350763384
2024,6,CHO,Tidjane Salaün,NA,1,60,1244,353,280,74,0.33,0.283,0.713,20.7,5.9,4.7,1.2,0,0.002,-5.2,-1,1,-1,-0.23018867924528302,-0.769811320754717,0.7508980700078284,-1.7508980700078283,2020s,0.4634850967619587,-1.4634850967619588,-1.7508980700078283,Lottery,-1.5851599704012511,-1.3408663130307974
2024,7,POR,Donovan Clingan,UConn,1,67,1324,436,527,77,0.539,0.286,0.596,19.8,6.5,7.9,1.1,4,0.144,-0.3,0.6,1,0.6,-0.23018867924528302,0.8301886792452831,0.6795130023950617,-0.07951300239506176,2020s,0.42322684534870586,0.17677315465129412,-0.07951300239506176,Lottery,-0.06069072458561397,0.17100775934404974
2024,8,MIN,Rob Dillingham,Kentucky,1,49,516,219,50,98,0.441,0.338,0.533,10.5,4.5,1,2,0.1,0.012,-4.2,-0.3,1,-0.3,-0.23018867924528302,-0.06981132075471697,0.6142650849283154,-0.9142650849283154,2020s,0.38546316060690616,-0.6854631606069062,-0.9142650849283154,Lottery,-0.8220675624917262,-0.6237407067439685
2024,9,MEM,Zach Edey,Purdue,1,66,1416,610,548,65,0.58,0.346,0.709,21.5,9.2,8.3,1,4.9,0.165,-0.1,0.7,1,0.7,-0.23018867924528302,0.9301886792452829,0.555663529905696,0.14433647009430395,2020s,0.35035015155165783,0.3496498484483421,0.14433647009430395,Lottery,0.1434822353831502,0.33035327145743004
2024,10,UTA,Cody Williams,Colorado,1,50,1060,230,113,59,0.323,0.259,0.725,21.2,4.6,2.3,1.2,-1.2,-0.053,-7.3,-1.4,1,-1.4,-0.23018867924528302,-1.169811320754717,0.5041715488308173,-1.904171548830817,2020s,0.3178965318952476,-1.7178965318952475,-1.904171548830817,Lottery,-1.72496061191264,-1.5753647843308434
2024,11,CHI,Matas Buzelis,NA,1,80,1511,688,278,79,0.454,0.361,0.815,18.9,8.6,3.5,1,1.9,0.06,-2.5,-0.2,1,-0.2,-0.23018867924528302,0.030188679245283012,0.4595997242656099,-0.65959972426561,2020s,0.2879812046837634,-0.48798120468376344,-0.65959972426561,Lottery,-0.589787450728284,-0.441715803857594
2024,12,OKC,Nikola Topić,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,-0.23018867924528302,NA,0.4212738885434045,NA,2020s,0.2603849525960007,NA,NA,Lottery,NA,NA
2024,13,SAC,Devin Carter,Providence,1,36,396,138,76,41,0.37,0.295,0.591,11,3.8,2.1,1.1,0.4,0.043,-3.2,-0.1,1,-0.1,-0.23018867924528302,0.13018867924528302,0.388508382473321,-0.48850838247332096,2020s,0.23483034973937936,-0.33483034973937936,-0.48850838247332096,Lottery,-0.43373514785578704,-0.3005521751711018
2024,14,WAS,Bub Carrington,Pitt,1,82,2458,807,341,364,0.401,0.339,0.812,30,9.8,4.2,4.4,0.2,0.005,-4.6,-1.6,1,-1.6,-0.23018867924528302,-1.3698113207547171,0.3606175468644792,-1.9606175468644793,2020s,0.2110236333370531,-1.811023633337053,-1.9606175468644793,Lottery,-1.776444970436073,-1.661202761359142
