Tm,Picks,Avg_VOADP,Total_VOADP,Median_VOADP,BreakEvenRate,Avg_dEPV,Total_dEPV,Total_WdEPV,Avg_WdEPV,Avg_z_dEPV,Avg_z_dEPV_dec
NOP,36,0.26179996118452886,8.115798796720396,-0.21811740890688258,0.3548387096774194,0.18124631392952084,5.618635731815146,5.350659888757833,0.17260193189541395,0.15333142333616456,0.16604005313533776
OKC,58,0.21828484606832096,10.914242303416048,-0.2869931669637552,0.3,0.21896877343858828,10.948438671929415,9.26707286673407,0.18534145733468138,0.1270829571258435,0.15477969727797725
PHI,50,0.11669724393007892,4.901284245063315,-0.22908708023439261,0.38095238095238093,0.1269796078086657,5.33314352796396,6.8602843234245485,0.16334010293867973,0.22984354122536887,0.2215752420665136
TOR,36,0.10031304641248084,3.109704438786906,-0.18883928571428568,0.3870967741935484,0.0543600478755367,1.6851614841416376,2.468851706781971,0.07964037763812809,0.10702493374193878,0.12888347799769434
DEN,36,0.09248531027126138,2.8670446184091025,-0.16936026936026932,0.2903225806451613,0.2029830139898198,6.292473433684414,10.630411694662287,0.3429165062794286,0.3710680736417523,0.3952405804935672
SAS,45,0.08953470678079943,2.9546453237663814,-0.267816091954023,0.30303030303030304,0.12415453846213502,4.097099769250455,5.415017488539927,0.16409143904666446,0.18209278853700983,0.23207746213518265
HOU,37,0.08730065512100824,3.055522929235288,-0.0662131519274376,0.42857142857142855,0.1088610309529778,3.810136083354223,5.196456563647693,0.14847018753279123,0.18141879621361554,0.21999971904406726
GSW,40,0.06967586649666514,2.6476829268732756,-0.20617408906882592,0.2894736842105263,0.07552923129249252,2.8701107891147157,4.628779607805143,0.12180998967908271,0.18018422180591853,0.15257411638543772
MEM,48,0.06799171972029774,2.991635667693101,-0.2737883695252116,0.3409090909090909,0.062096411380177644,2.732242100727816,4.154185257839006,0.09441330131452287,0.11999635322651295,0.12661418911692487
DAL,33,0.04712680316889228,1.2252968823911992,-0.3261999303378614,0.23076923076923078,0.10292904327905875,2.6761551252555273,2.230918361872638,0.08580455237971685,0.0440745549772278,0.04660274579642615
MIN,47,0.03464926477623021,1.3513213262729782,-0.20896551724137932,0.3076923076923077,-0.0761924171857536,-2.971504270244391,-3.479771861488588,-0.0892249195253484,-0.0857536114653651,-0.07269319778923654
ORL,43,0.029639008614232857,1.0670043101123827,-0.06881370635436998,0.4166666666666667,-0.08613027425695798,-3.100689873250487,-3.495927736351147,-0.09710910378753186,-0.09445412948055773,-0.07566452205542872
CHI,36,0.028900812486543633,1.0115284370290272,-0.15165631469979296,0.4,-0.008509414986815499,-0.2978295245385425,0.8302419179275308,0.02372119765507231,0.00941926306178002,-0.016979209789513776
CLE,31,0.016757267960429024,0.45244623493158365,-0.2318295739348371,0.18518518518518517,-0.08141386382391702,-2.19817432324576,-2.130812936662115,-0.0789189976541524,-0.04634224849761741,-0.051973501508563995
UTA,50,0.0034368314507469354,0.15122058383286516,-0.23776906731712225,0.29545454545454547,-2.216488427541428e-4,-0.009752549081182282,0.7570601222055892,0.017205911868308842,0.04618395439915174,0.07481755089774081
